atividade_principal_code,tipo,situacao,natureza_juridica,participacoes,vitorias,class
41.20-4-00,MATRIZ,ATIVA,230-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.51-2-01,FILIAL,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.89-0-07,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",?
42.99-5-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
10.66-0-00,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
61.90-6-01,MATRIZ,ATIVA,230-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
23.30-3-01,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",?
45.11-1-04,MATRIZ,ATIVA,206-2,"MUITO FREQUENTE","MUITO FREQUENTE",?
41.20-4-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",?
49.30-2-02,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",?
47.44-0-05,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.89-0-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
45.30-7-05,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.44-0-02,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.31-8-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
10.91-1-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.44-0-99,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
77.11-0-00,MATRIZ,ATIVA,213-5,FREQUENTE,"MODERADAMENTE FREQUENTE",?
47.12-1-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.44-0-99,FILIAL,ATIVA,206-2,"POUCO FREQUENTE","MODERADAMENTE FREQUENTE",?
